step,kNN_accuracy
179,22.012739181518555
359,22.191083908081055
539,22.496814727783203
719,23.414012908935547
899,23.414012908935547
1079,23.05732536315918
1259,23.464969635009766
1439,23.949045181274414
1619,25.57961654663086
1799,25.707006454467773
1979,26.114648818969727
2159,26.496814727783203
2339,26.929935455322266
2519,28.458599090576172
2699,30.267515182495117
2879,32.43312072753906
3059,27.97452163696289
3239,33.070064544677734
3419,34.8535041809082
3599,35.92356872558594
3779,37.57961654663086
3959,30.038217544555664
4139,33.55413818359375
4319,35.74522399902344
4499,37.65605163574219
4679,39.54140090942383
4859,40.993629455566406
5039,42.21656036376953
5219,43.261146545410156
5399,43.79617691040039
5579,44.509552001953125
5759,44.02547836303711
5939,44.713375091552734
6119,45.27388381958008
6299,45.45222854614258
6479,45.73248291015625
6659,45.3248405456543
6839,45.528663635253906
7019,45.63057327270508
7199,45.222930908203125
