step,std_feature_emb
49,2327.6259765625
99,1998.2264404296875
149,1713.416259765625
199,1360.9742431640625
249,1103.951171875
299,1072.322021484375
349,983.02880859375
399,890.4804077148438
449,846.037353515625
499,739.9581909179688
549,700.85791015625
599,661.0040283203125
649,609.6444702148438
699,557.2575073242188
749,474.73675537109375
799,424.8600769042969
849,395.6230163574219
899,342.82537841796875
949,317.9988098144531
999,300.3695068359375
1049,279.77996826171875
1099,252.07066345214844
1149,241.12550354003906
1199,213.72439575195312
1249,192.94094848632812
1299,173.80545043945312
1349,158.30674743652344
1399,138.93844604492188
1449,126.01395416259766
1499,114.20924377441406
1549,99.9642333984375
1599,90.51323699951172
1649,82.62254333496094
1699,74.18544006347656
1749,64.82460021972656
1799,57.793670654296875
1849,51.958526611328125
1899,46.524654388427734
1949,42.01868438720703
1999,38.84466552734375
2049,35.31034851074219
2099,32.200809478759766
2149,29.22233772277832
2199,27.383508682250977
2249,24.454219818115234
2299,22.29730987548828
2349,19.873098373413086
2399,18.399646759033203
2449,16.660491943359375
2499,15.58523178100586
2549,14.094072341918945
2599,12.801573753356934
2649,11.674986839294434
2699,10.703028678894043
2749,9.687568664550781
2799,9.133657455444336
2849,8.510161399841309
2899,8.337965965270996
2949,7.726451873779297
2999,7.524409294128418
3049,7.133038520812988
3099,6.925408363342285
3149,6.782297611236572
3199,6.43550443649292
3249,6.134207725524902
3299,5.9101738929748535
3349,5.730092525482178
3399,5.481436729431152
3449,5.5306596755981445
3499,5.216434001922607
3549,5.162540912628174
3599,4.967799186706543
3649,4.9946675300598145
3699,4.802821636199951
3749,4.803343772888184
3799,4.657828330993652
3849,4.654452323913574
3899,4.5110883712768555
3949,4.395328521728516
3999,4.3457255363464355
4049,4.241519451141357
4099,4.197027683258057
4149,4.022187232971191
4199,3.964481830596924
4249,3.986642837524414
4299,3.8826749324798584
4349,3.7928273677825928
4399,3.727172374725342
4449,3.641221523284912
4499,3.6477394104003906
4549,3.5351309776306152
4599,3.4570059776306152
4649,3.420170307159424
4699,3.390840530395508
4749,3.3263540267944336
4799,3.3046305179595947
4849,3.2667558193206787
4899,3.2264084815979004
4949,3.1572749614715576
4999,3.148648738861084
5049,3.063227891921997
5099,2.992730140686035
5149,2.9654812812805176
5199,2.9327821731567383
5249,2.9342193603515625
5299,2.8561837673187256
5349,2.861631393432617
5399,2.787900924682617
5449,2.779456377029419
5499,2.7357029914855957
5549,2.7409400939941406
5599,2.6698131561279297
5649,2.580364227294922
5699,2.580003499984741
5749,2.549935817718506
5799,2.5323925018310547
5849,2.511793613433838
5899,2.4749343395233154
5949,2.4313201904296875
5999,2.407320022583008
6049,2.400491237640381
6099,2.394402503967285
6149,2.3245060443878174
6199,2.291530132293701
6249,2.29886531829834
6299,2.2385787963867188
6349,2.2048423290252686
6399,2.212900161743164
6449,2.2037601470947266
6499,2.178602457046509
6549,2.1605286598205566
6599,2.1088781356811523
6649,2.0997002124786377
6699,2.055140972137451
6749,2.060486316680908
6799,2.0189783573150635
6849,2.0090444087982178
6899,2.0154943466186523
6949,1.9631786346435547
6999,1.973994255065918
7049,1.9419044256210327
7099,1.9055473804473877
7149,1.8903412818908691
7199,1.88814115524292
7249,1.8636492490768433
7299,1.8429617881774902
7349,1.815037727355957
7399,1.8142569065093994
7449,1.8096354007720947
7499,1.7887929677963257
7549,1.7657861709594727
7599,1.763832688331604
7649,1.749208688735962
7699,1.727537989616394
7749,1.7455055713653564
7799,1.7072919607162476
7849,1.7029365301132202
7899,1.705019474029541
7949,1.6902847290039062
7999,1.685896873474121
8049,1.6787269115447998
8099,1.6596109867095947
8149,1.637444019317627
8199,1.6291990280151367
8249,1.652380347251892
8299,1.6291821002960205
8349,1.6333352327346802
8399,1.6128803491592407
8449,1.6081366539001465
8499,1.611732006072998
8549,1.594965934753418
8599,1.5995688438415527
8649,1.60088050365448
8699,1.5978715419769287
8749,1.5808030366897583
8799,1.5885084867477417
8849,1.582468032836914
8899,1.5651795864105225
8949,1.5659136772155762
8999,1.5576454401016235
9049,1.5601766109466553
9099,1.564955234527588
9149,1.5455083847045898
9199,1.5604121685028076
9249,1.5449650287628174
9299,1.5564775466918945
9349,1.545952320098877
9399,1.5548837184906006
9449,1.5554580688476562
9499,1.526809811592102
9549,1.5375181436538696
9599,1.5511693954467773
9649,1.5442421436309814
9699,1.5486328601837158
9749,1.5470105409622192
